epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1951.78,1.36254,0.86162,1.12288,0.86903,0.70178,0.74294,0.55181,1.36191,0.95317,1.27712,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,2015.58,1.38392,0.85435,1.12231,0.83882,0.71893,0.76498,0.57802,1.36968,0.88948,1.27685,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,2078.44,1.39738,0.8516,1.10389,0.81004,0.66161,0.73352,0.5511,1.35706,0.98348,1.28514,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,2141.42,1.3785,0.83985,1.11552,0.84086,0.72695,0.78511,0.59257,1.32523,0.91925,1.26248,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,2205.25,1.38193,0.82933,1.10682,0.82276,0.76927,0.78375,0.55564,1.34437,0.899,1.24257,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,2269.48,1.36567,0.84077,1.11525,0.9254,0.73593,0.78832,0.57328,1.37173,0.85505,1.27224,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,2333.1,1.33406,0.81515,1.10406,0.86726,0.76042,0.80279,0.59814,1.35804,0.88792,1.27371,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,2396.2,1.34613,0.82767,1.10755,0.87577,0.72924,0.78354,0.56253,1.40983,0.89847,1.32181,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,2459.7,1.3234,0.81083,1.11057,0.79627,0.74421,0.74018,0.54031,1.36003,0.86638,1.31974,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,2523.32,1.35133,0.81352,1.10028,0.83382,0.76444,0.78051,0.57688,1.3548,0.89388,1.28176,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,2586.01,1.36781,0.81128,1.09432,0.81679,0.77329,0.78779,0.58101,1.33495,0.86716,1.23538,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,2650.25,1.31965,0.79824,1.1037,0.88106,0.75032,0.78422,0.59856,1.34726,0.89322,1.27458,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,2714,1.35743,0.80389,1.08907,0.86181,0.76937,0.79603,0.61003,1.32509,0.84893,1.25182,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,2776.1,1.32027,0.78567,1.0843,0.87342,0.75411,0.78374,0.58118,1.345,0.85345,1.27205,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,2839.26,1.32771,0.79433,1.08485,0.89385,0.75754,0.78096,0.58936,1.30978,0.85576,1.22834,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,2903.47,1.32942,0.79274,1.0906,0.85698,0.77797,0.80685,0.60655,1.3457,0.82833,1.27228,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,2967.81,1.31583,0.78655,1.0982,0.79998,0.74253,0.77821,0.57985,1.32422,0.8662,1.24764,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,3030.17,1.30624,0.782,1.08018,0.91967,0.75778,0.79811,0.59141,1.34198,0.82271,1.25968,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,3093.63,1.29036,0.76346,1.08307,0.89529,0.75108,0.80629,0.61784,1.31862,0.80231,1.24483,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,3161.65,1.3226,0.77319,1.07933,0.91111,0.76821,0.81318,0.61602,1.29307,0.85598,1.21506,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,3228.37,1.33646,0.77838,1.07095,0.82008,0.76154,0.79043,0.61028,1.29722,0.79936,1.21929,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,3294.73,1.28542,0.75986,1.08281,0.87876,0.75878,0.78623,0.61152,1.28158,0.81016,1.2115,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,3361.17,1.2609,0.7487,1.07676,0.90193,0.77902,0.80432,0.62878,1.28499,0.80127,1.20648,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,3427.1,1.30103,0.75828,1.07597,0.78497,0.79825,0.78711,0.58839,1.30735,0.84093,1.2413,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,3492.28,1.26953,0.74938,1.07672,0.7902,0.75794,0.7641,0.57167,1.35517,0.83483,1.3045,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,3557.96,1.29707,0.75078,1.06878,0.83325,0.77926,0.7887,0.59881,1.33289,0.78969,1.26661,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,3623.94,1.32191,0.76477,1.072,0.84015,0.76087,0.79626,0.59756,1.31235,0.83069,1.23889,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,3688.95,1.27481,0.7376,1.07075,0.79738,0.7708,0.78927,0.56791,1.37463,0.85193,1.3168,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,3752.91,1.28269,0.74787,1.06919,0.90498,0.75551,0.79045,0.60279,1.25959,0.83314,1.18978,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,3817.62,1.27217,0.73961,1.06516,0.86192,0.78107,0.80742,0.59021,1.3069,0.77079,1.25965,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,3882.9,1.295,0.74425,1.07049,0.86961,0.76855,0.80608,0.61586,1.29846,0.78793,1.23726,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
